symbol	profile	managed_validation
compound_file_id	translated-unqualified	pending
free_smb2_file_notify_change_information	translated-unqualified	pending
nterror_to_errno	translated-unqualified	pending
nterror_to_str	translated-unqualified	pending
smb2_accept_connection_async	deferred-client-profile	pending
smb2_active_contexts	translated-unqualified	pending
smb2_add_compound_pdu	translated-unqualified	pending
smb2_alloc_data	translated-unqualified	pending
smb2_alloc_init	translated-unqualified	pending
smb2_bind_and_listen	deferred-client-profile	pending
smb2_close	required	pending
smb2_close_async	required	pending
smb2_close_context	translated-unqualified	pending
smb2_closedir	required	pending
smb2_cmd_change_notify_async	translated-unqualified	pending
smb2_cmd_change_notify_reply_async	deferred-client-profile	pending
smb2_cmd_close_async	translated-unqualified	pending
smb2_cmd_close_reply_async	deferred-client-profile	pending
smb2_cmd_create_async	translated-unqualified	pending
smb2_cmd_create_reply_async	deferred-client-profile	pending
smb2_cmd_echo_async	translated-unqualified	pending
smb2_cmd_echo_reply_async	deferred-client-profile	pending
smb2_cmd_error_reply_async	deferred-client-profile	pending
smb2_cmd_flush_async	translated-unqualified	pending
smb2_cmd_flush_reply_async	deferred-client-profile	pending
smb2_cmd_ioctl_async	translated-unqualified	pending
smb2_cmd_ioctl_reply_async	deferred-client-profile	pending
smb2_cmd_lease_break_async	translated-unqualified	pending
smb2_cmd_lease_break_notification_async	translated-unqualified	pending
smb2_cmd_lease_break_reply_async	deferred-client-profile	pending
smb2_cmd_lock_async	translated-unqualified	pending
smb2_cmd_lock_reply_async	deferred-client-profile	pending
smb2_cmd_logoff_async	translated-unqualified	pending
smb2_cmd_logoff_reply_async	deferred-client-profile	pending
smb2_cmd_negotiate_async	translated-unqualified	pending
smb2_cmd_negotiate_reply_async	deferred-client-profile	pending
smb2_cmd_oplock_break_async	translated-unqualified	pending
smb2_cmd_oplock_break_notification_async	translated-unqualified	pending
smb2_cmd_oplock_break_reply_async	deferred-client-profile	pending
smb2_cmd_query_directory_async	translated-unqualified	pending
smb2_cmd_query_directory_reply_async	deferred-client-profile	pending
smb2_cmd_query_info_async	translated-unqualified	pending
smb2_cmd_query_info_reply_async	deferred-client-profile	pending
smb2_cmd_read_async	translated-unqualified	pending
smb2_cmd_read_reply_async	deferred-client-profile	pending
smb2_cmd_session_setup_async	translated-unqualified	pending
smb2_cmd_session_setup_reply_async	deferred-client-profile	pending
smb2_cmd_set_info_async	translated-unqualified	pending
smb2_cmd_set_info_reply_async	deferred-client-profile	pending
smb2_cmd_tree_connect_async	translated-unqualified	pending
smb2_cmd_tree_connect_reply_async	deferred-client-profile	pending
smb2_cmd_tree_disconnect_async	translated-unqualified	pending
smb2_cmd_tree_disconnect_reply_async	deferred-client-profile	pending
smb2_cmd_write_async	translated-unqualified	pending
smb2_cmd_write_reply_async	deferred-client-profile	pending
smb2_connect_async	translated-unqualified	pending
smb2_connect_share	required	pending
smb2_connect_share_async	required	pending
smb2_connect_tree_id	translated-unqualified	pending
smb2_context_active	translated-unqualified	pending
smb2_copychunk	translated-unqualified	pending
smb2_copychunk_async	translated-unqualified	pending
smb2_decode_fileidfulldirectoryinformation	translated-unqualified	pending
smb2_delegate_credentials	translated-unqualified	pending
smb2_destroy_context	required	pending
smb2_destroy_url	translated-unqualified	pending
smb2_disconnect_share	required	pending
smb2_disconnect_share_async	required	pending
smb2_disconnect_tree_id	translated-unqualified	pending
smb2_echo	translated-unqualified	pending
smb2_echo_async	translated-unqualified	pending
smb2_fd_event_callbacks	translated-unqualified	pending
smb2_fh_from_file_id	translated-unqualified	pending
smb2_free_data	translated-unqualified	pending
